github_path,category,dependency_partition,size,sha256,archive_identical_elsewhere,archive_same_basename_elsewhere,included_by_count,included_by
Library/QHTM_FullSource1967/components/guitools/Release/GuiBaseWindowObject.asm,generated/build artifact,unclassified/non-code,62451,5096f2f44c2a799fc89e07abf40c1e001eafbac0764d3d41e8ccef7f0bb79520,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/GuiBaseWindowObject.obj,generated/build artifact,unclassified/non-code,13045,aa796bc537627e0ed855313b6115a61a227d3994ca613553c8f0f7c5f1192de1,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/GuiBaseWindowObject.sbr,generated/build artifact,unclassified/non-code,59034,311025e7c8060f87b945d0807581b037b93d110dc4c0f255f836369bf0460b3c,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/guitools.pch,generated/build artifact,unclassified/non-code,4671772,fd38d675187f7a61e4ab6c56bfd13ec94a14814cfd3a5e245632253adca9aeab,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/Guitooltip.asm,generated/build artifact,unclassified/non-code,11476,b4f9c451b3314938f26dd2381da8d05c684ffe4193a2922fac1dcbb223daaa14,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/Guitooltip.obj,generated/build artifact,unclassified/non-code,2630,af1738f5099411ea93b4bd827a997b4e76691bce36d03f25ce6f54e755ad28a8,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/Guitooltip.sbr,generated/build artifact,unclassified/non-code,78462,58d4b073793252c459546e4865132f08446333b2e0765ad0cdb928bb7b6f5bb6,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/HandleMouseWheelRegisteredMessage.asm,generated/build artifact,unclassified/non-code,4873,7d21a706817ffb08deb86cbc759254caa38fa7e3ccc42f496b6bc09edbf4a771,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/HandleMouseWheelRegisteredMessage.obj,generated/build artifact,unclassified/non-code,1021,a24ac71bf5ef50636fd2dbbd91fd6b2e919852dd1215d09949bb922b02626cbb,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/HandleMouseWheelRegisteredMessage.sbr,generated/build artifact,unclassified/non-code,14462,a102791cb971d2e2389b9af55526b9a89461015f7f6919564c45cbd846ee6fa8,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/palette.asm,generated/build artifact,unclassified/non-code,17826,1da2ce9ed02d842f4a30c3c48f585e31eb78517b73de06966de4d296b24c3a60,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/palette.obj,generated/build artifact,unclassified/non-code,3863,d3a05195f546f10e2de071b1156dcd98fcdc1511f04658fbb53e095e97684099,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/palette.sbr,generated/build artifact,unclassified/non-code,19791,046a3dbe8a58096ac65643690661c5350843fd32a2cdb1846c1741607fc8d625,,XLauncher/Release/palette.sbr,0,
Library/QHTM_FullSource1967/components/guitools/Release/RadialGradient.asm,generated/build artifact,unclassified/non-code,11692,5b3c5a3e3668fb45c207a4aeb9ab45b92aedd60c7581dd5b6ca12f4a3866b4a0,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/RadialGradient.obj,generated/build artifact,unclassified/non-code,1297,b58060025240d313195eaf641e7f9a96f496dfbf506013656cb93221cded6df1,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/RadialGradient.sbr,generated/build artifact,unclassified/non-code,33566,4fc08b9bbe5776a4c6683bd6046a388ca0330d7f7197a6f7ee069904dac80a0b,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/StdAfx.asm,generated/build artifact,unclassified/non-code,560,688e0de326b9cecb726a8d2fb65aecc46764185d5214504c8fb5af3663aae8a7,,,0,
Library/QHTM_FullSource1967/components/guitools/Release/StdAfx.obj,generated/build artifact,unclassified/non-code,308,c1ef7769268d45487332cfa3e83e63591336bb9a509b4b7da987d1d0a23329c1,,SetRegistry/Release/StdAfx.obj;XFileTransfer/Release/StdAfx.obj;XLauncher/Release/StdAfx.obj;XPacker/Release/StdAfx.obj;XPatch/Release/StdAfx.obj,0,
Library/QHTM_FullSource1967/components/guitools/Release/StdAfx.sbr,generated/build artifact,unclassified/non-code,952734,bcd92c6d57b4e544a6134136530118ebd6c63a2e53341fed34774a98361561b6,,SetRegistry/Release/StdAfx.sbr;XFileTransfer/Release/StdAfx.sbr;XLauncher/Release/StdAfx.sbr;XPacker/Release/StdAfx.sbr;XPatch/Release/StdAfx.sbr,0,
Library/QHTM_FullSource1967/components/guitools/Release/vc60.idb,generated/build artifact,unclassified/non-code,91136,e44f5191e88b929c58b59e717dbd4402fffa8cf9de5f764a95dee937ec16bf75,,Compiled/KR/release_gm/XGamebase/vc60.idb;Compiled/KR/release_gm/XKernel/vc60.idb;Compiled/TH/release_gm/XGamebase/vc60.idb;Compiled/TH/release_gm/XKernel/vc60.idb,0,
Library/QHTM_FullSource1967/components/imglib/imaglib.txt,third-party/middleware,unclassified/non-code,1518,be3d7ffd235a284a53ca02dfaf89eba913f9e19dbc06b2342c1e6b3a6cb06c69,,,0,
Library/QHTM_FullSource1967/components/imglib/ImgLib.dsp,third-party/middleware,unclassified/non-code,6508,068e70dc441d8f084b2c80e6b6abe3a62b20e2f9f0b88fcbe0022b33304f7af9,,,0,
Library/QHTM_FullSource1967/components/imglib/licence.txt,third-party/middleware,unclassified/non-code,1595,9e04876f7cafba8c00ac10a7eaa1c6cc2f6defbd084fff1a09a9eb0aa06536ca,,qhtm sdk/licence.txt,0,
Library/QHTM_FullSource1967/components/imglib/Release/DecodeBMP.obj,generated/build artifact,unclassified/non-code,2761,c29417cbd04c05407f1f3d848326536e971cf554cf613a55320d680b5d50de48,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/DecodeGIF.obj,generated/build artifact,unclassified/non-code,9884,96165d814414668933dfa66bf46f364abf46353787c2276f8ed433091c3cfa74,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/DecodeICO.obj,generated/build artifact,unclassified/non-code,4907,1cb160ffa13586bdafae47bd3eb5d2acf691fb52eeea7df39ec503745dd0e8e9,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/DecodeJPEG.obj,generated/build artifact,unclassified/non-code,7522,53c5ef7886aea86e8faeef7731bcc52c2eb1bc49722f94532aaa931194401833,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/DecodeMNG.obj,generated/build artifact,unclassified/non-code,6798,b6b1d1af9bef59e15051c186eb92d19d40b505e95cd5a8fc7cca813abfc88691,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/DecodePCX.obj,generated/build artifact,unclassified/non-code,6499,961b7afd7650e6b7c71ac8ec0be6df9fd27ed27491bf1c73c7333110d4122cc3,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/DecodePNG.obj,generated/build artifact,unclassified/non-code,4548,8b39313cdff0b9a899e85f0587bfed7b91f9d6047ede308c65436c330f21186d,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/DibLoader.obj,generated/build artifact,unclassified/non-code,3984,27a3531324dcd1e8495bf2f6af5a8d3aecab6e9c50cd969cd8bf9a58bafe0e0a,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/Frame.obj,generated/build artifact,unclassified/non-code,1339,635f57f79bbb7de95fc948306f5c2005aabd33090f115190330e1dcfc6a59406,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/Image.obj,generated/build artifact,unclassified/non-code,11819,d9396afafbbdf3ecb31cac0d1683846b1f9d56f864f7506e3539c4d189d9592f,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/ImgLib.pch,generated/build artifact,unclassified/non-code,1999576,c96ee0afb68581c9baf14962181f2e41968bf87beafa340a44ec284189e0ace9,,,0,
Library/QHTM_FullSource1967/components/imglib/Release/StdAfx.obj,generated/build artifact,unclassified/non-code,291,c74df333af006389a3481944e9a86459c3dd6f8ada47922d9546bcd40113e209,,SetRegistry/Release/StdAfx.obj;XFileTransfer/Release/StdAfx.obj;XLauncher/Release/StdAfx.obj;XPacker/Release/StdAfx.obj;XPatch/Release/StdAfx.obj,0,
Library/QHTM_FullSource1967/components/imglib/Release/vc60.idb,generated/build artifact,unclassified/non-code,58368,7d8d1ba1570eafe360e9ac080d159bf8e544884fe56a03c64d667eda90bd467e,,Compiled/KR/release_gm/XGamebase/vc60.idb;Compiled/KR/release_gm/XKernel/vc60.idb;Compiled/TH/release_gm/XGamebase/vc60.idb;Compiled/TH/release_gm/XKernel/vc60.idb,0,
Library/QHTM_FullSource1967/components/jpeg-6b/jpeglib.dsp,third-party/middleware,unclassified/non-code,8119,b527c5df8f0c5bea991134ac6002dd855850beb8e5ce507e200629389bfa2abd,,,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcapimin.obj,generated/build artifact,unclassified/non-code,3360,17a3d8270ca0bba2ba84c1eb7694a8798464a07096968846f3a27012788509f2,,Compiled/KR/release_gm/XGamebase/jcapimin.obj;Compiled/TH/release_gm/XGamebase/jcapimin.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcapistd.obj,generated/build artifact,unclassified/non-code,1563,37f6d58aac5a7fcaa7a1378ccfa784110cc6a688a3d67dc6634c83dba27ef648,,Compiled/KR/release_gm/XGamebase/jcapistd.obj;Compiled/TH/release_gm/XGamebase/jcapistd.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jccoefct.obj,generated/build artifact,unclassified/non-code,3911,447a6706ca90806f6249c7da725b0527701184bf6fe1b4954a2d26fa8efe4bd9,,Compiled/KR/release_gm/XGamebase/jccoefct.obj;Compiled/TH/release_gm/XGamebase/jccoefct.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jccolor.obj,generated/build artifact,unclassified/non-code,4308,0cc94e96322ac3b2ef36d14723aeac5aa0126d467b5599175ef05e1f34443396,,Compiled/KR/release_gm/XGamebase/jccolor.obj;Compiled/TH/release_gm/XGamebase/jccolor.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcdctmgr.obj,generated/build artifact,unclassified/non-code,3711,16156cbc2a9e373a3dd8d55a51e75e7b669271b8f73896a145f99eae7ba01f20,,Compiled/KR/release_gm/XGamebase/jcdctmgr.obj;Compiled/TH/release_gm/XGamebase/jcdctmgr.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jchuff.obj,generated/build artifact,unclassified/non-code,7132,0ce9273c915d46d42b7d44aa24b5ba09fa0486b56484a327ad216a45793ee0db,,Compiled/KR/release_gm/XGamebase/jchuff.obj;Compiled/TH/release_gm/XGamebase/jchuff.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcinit.obj,generated/build artifact,unclassified/non-code,1179,5587a4e71e4a5df889ea703978dd928f2fbfc235bc6e25f0749441b557ad6787,,Compiled/KR/release_gm/XGamebase/jcinit.obj;Compiled/TH/release_gm/XGamebase/jcinit.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcmainct.obj,generated/build artifact,unclassified/non-code,1342,dd57a6dc4a6e542a3bdebfd0c2fcb6fa4fe13355fd5cdcc8ac2dd401b50ebc56,,Compiled/KR/release_gm/XGamebase/jcmainct.obj;Compiled/TH/release_gm/XGamebase/jcmainct.obj,0,
