archive_path,github_path,category,status,archive_size,github_size,archive_added_lines_vs_github,archive_removed_lines_vs_github,line_similarity,archive_mtime,archive_sha256,github_sha256
Script/XQuestScriptManager.h,Script/XQuestScriptManager.h,normal/shared source,text-identical (encoding/EOL differs),12137,11827,,,,1341402556,7b438c718cc106ad414b3b33d1e7252f7b773f1c540a4aec122e7915effad987,60258081b8a27fb9ae374236ce3ff1c1051030a9085710f6c075af23f34b8382
Script/XResourceItem.cpp,Script/XResourceItem.cpp,normal/shared source,text-identical (encoding/EOL differs),2675,2572,,,,1341402556,200c3f92e9061ac53256aff656c131c66f0cbed061793a1837494408462a976a,b86d075005175c07e2edd86451108ee2ee80f97f35ac5f4e94c74c0f8d8f041e
Script/XResourceItem.h,Script/XResourceItem.h,normal/shared source,text-identical (encoding/EOL differs),1865,1795,,,,1341402556,d87d466cafeaeb22b9e5ebf5a3fb5745af21d9dc4eb406609c92f091a863f8ec,00fce1ea5b40b9412b55dabed11120ec1bfd133a9fdbddf7b7d3e562952d99b5
Script/XResourceManager.cpp,Script/XResourceManager.cpp,normal/shared source,content-different,9763,9650,7,17,0.964179,1410640227,14eea9bf63d71e13fa92ca00791a118f5247a7e6fe7522e4309bf688291200d0,0cd366d7417734a9c4f5738dd70e16ae947413e64840b3e4158fafca394f9419
Script/XResourceManager.h,Script/XResourceManager.h,normal/shared source,text-identical (encoding/EOL differs),987,949,,,,1341402557,f77dc4e284cc54f202a756e020387e2090a824d2b24ff8de8cd320f1c91279c1,05188a3b2b6b7d870440f104981b6de54eb65a2fba1dceb8468b00e847abf547
Script/XTriggerActionItem.cpp,Script/XTriggerActionItem.cpp,normal/shared source,content-different,128667,125494,39,44,0.988512,1384269033,c7898478c4c097a3cbe952e967941e9070f264db2ad556997075dd8ec053d650,ae24270e17e45bd8369565842c7ca948c50d3ae258161da7d35bec67d39249e7
Script/XTriggerActionItem.h,Script/XTriggerActionItem.h,normal/shared source,text-identical (encoding/EOL differs),6217,6025,,,,1341402557,4415088767646ee0e0e13ecfc9fb2ed4aa539796db6fe94c3322c1c08623c458,0f32ff43f9a6746f36e31cea2adf4d5fc904b1bd556ea9c77ae3e30162ab489c
Script/XTriggerConditionItem.cpp,Script/XTriggerConditionItem.cpp,normal/shared source,content-different,193785,191132,71,186,0.97998,1384270869,cee418f648fbf4a22e15d3fa0daaacb6c82ce663d5f8fa4f7a04245f755c1179,83d124b42c3a3e08c63adcd20e185f93496b178115ed911128eb29a7810109cb
Script/XTriggerConditionItem.h,Script/XTriggerConditionItem.h,normal/shared source,content-different,7966,8028,0,4,0.989583,1341402557,db693cb07b52ba1418eb609f132d562385aa42f09e5911e1ce40ef41733d7829,b338e90b941a4e0dd466e2fa156d4771a092ca544038ec3a405ab8ce10870a7d
Script/XTriggerItem.cpp,Script/XTriggerItem.cpp,normal/shared source,content-different,31192,30018,26,26,0.976723,1384268024,d8b10fb6932dd4883bb0634ac9c63c1726ccfcf33d71d4d483f1a0a9e5a1f520,6403d0e48d4b87fbb687d4d22dd1f1101ce823cbb927c52ab047e8e9c3c3d81d
Script/XTriggerItem.h,Script/XTriggerItem.h,normal/shared source,text-identical (encoding/EOL differs),3020,2895,,,,1341402557,1d7ec5eee3f40faa16178260321e45fe487fc0b5acaac8ce6e3c3a8c2c4c7c19,9a01eee02b313a82c4f92e9f515a02e58aa7218394cce6fd90e41d3061d903c7
Script/XTriggerTreeItem.cpp,Script/XTriggerTreeItem.cpp,normal/shared source,text-identical (encoding/EOL differs),3165,3040,,,,1341402557,c0ae6ff46192bbca0a6865a8d17a2230d18ad130b61c81179bb39e356d933be7,b6e66a965f74e94b45d170dbfd4ffa94836796f6cfa0e6c07bb95bb55219f541
Script/XTriggerTreeItem.h,Script/XTriggerTreeItem.h,normal/shared source,text-identical (encoding/EOL differs),1198,1150,,,,1341402557,b8852bd7833ea796509d902639cf7aec1402c5b1c48f8583bb61d622437e9c30,62b8e7757f2fed68e7777c6824519f02de0034bb70b3c35f66311006f7cb359c
SetRegistry/AddServerDlg.cpp,SetRegistry/AddServerDlg.cpp,normal/shared source,text-identical (encoding/EOL differs),3188,3083,,,,1341402557,943b8b199101c454378700285d872bc1463788a51803b04af3617e9e78d1c3d6,886a7643edafe3f3a298e062d8eafebc59aab22428b3bfa986a307be4fffd5f4
SetRegistry/AddServerDlg.h,SetRegistry/AddServerDlg.h,normal/shared source,text-identical (encoding/EOL differs),1484,1431,,,,1341402557,3bb5a220bfe223361824ec06f76a4f697b73c70e7e6fa45257cfc5b66548f44b,9640aee21bd89509e4bcf2136a0d973dcd214f9690ba8548d226cfdae19ae34f
SetRegistry/mssccprj.scc,SetRegistry/mssccprj.scc,resource/config/other,content-different,205,169,,,,1341402558,fb7377833c97f81a63c1995fb3049639c9cb4503f52bab95266b859abcbad32f,675211bbe4ac015130863c43b95b133a1b2a5fa077ab749f90887fd0cccd8491
SetRegistry/NANGReg.cpp,SetRegistry/NANGReg.cpp,normal/shared source,content-different,17595,16795,5,3,0.994638,1394969927,cbc557167510247b2935a6a8b22064ea97e7b664494b81ed2ecc0c046e26686d,99641596eebf653fa7b1f960699094e7c52acb16ddc4c361515ee9d1ac386a66
SetRegistry/NANGReg.h,SetRegistry/NANGReg.h,normal/shared source,text-identical (encoding/EOL differs),3532,3413,,,,1341402557,bcba467329dc1faa26ce35dbc0fd71b5bd33ac7ab321c2b1939d3c89d8f47399,e2605354dabb46bae71967550de69f532ed030a41c59ccae71b976bcb9dd57e3
SetRegistry/ReadMe.txt,SetRegistry/ReadMe.txt,resource/config/other,text-identical (encoding/EOL differs),3669,3581,,,,1341402557,175558f3e4b6f04d7d9d39cac3c78bf94a32a30f3581428e80a1ae32683a975c,6dd2bb13a4f12394124c7357fced9c2334c9e7b76f35346c14072c20840266a6
SetRegistry/RegStringDefine.h,SetRegistry/RegStringDefine.h,normal/shared source,text-identical (encoding/EOL differs),528,515,,,,1341402557,e95fc975e250caa88b485eadcf86fbc5d3f6879123383cf1ea3c6afa62fa5f3e,6fd7dd0550938775d5e3c6bd4728b606a7c98708d1eac822111672d01889493f
SetRegistry/res/SetRegistry.ico,SetRegistry/res/SetRegistry.ico,resource/config/other,byte-identical,3262,3262,,,,1341402558,df5effcffcc8dd66e89f77ed0d999e0f34f6d8c67735434f5b331cbab958de4a,df5effcffcc8dd66e89f77ed0d999e0f34f6d8c67735434f5b331cbab958de4a
SetRegistry/res/SetRegistry.rc2,SetRegistry/res/SetRegistry.rc2,normal/shared source,text-identical (encoding/EOL differs),403,390,,,,1341402558,0362341572eb43dcb11b6097eda921462facc3df23f7f068542999025d518831,3f24cf8070099068b7ae6d96957666ab177835d5132af9b1b23994e149fe319f
SetRegistry/resource.h,SetRegistry/resource.h,normal/shared source,text-identical (encoding/EOL differs),1136,1105,,,,1341402558,8b3a7f74d9232aeadf98cd1e5c243194782c4ce033f064a1b0b22b53fd77988f,57e07c6f2eaeb21568c4667f6d83322547b4b3e19767ce516852434e586195bb
SetRegistry/Server.ini,SetRegistry/Server.ini,resource/config/other,content-different,4,304,1,1,0.0,1394969944,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,c1d4c3ed85282bab268f6e02deea658b3f2b9a5338e58030d83da82e268d22f9
SetRegistry/SetRegistry.cpp,SetRegistry/SetRegistry.cpp,normal/shared source,text-identical (encoding/EOL differs),2134,2060,,,,1341402558,8bae7e99839a3b7a1bc7fea8f1d573aded3fade81a98561445353f129ffab234,4a7162d76d65d4aa6c6afdb46691dc2ae78bdc1c16c6037c9c03cc550e05396f
SetRegistry/SetRegistry.dsp,SetRegistry/SetRegistry.dsp,resource/config/other,text-identical (encoding/EOL differs),5013,4827,,,,1341402558,2eb96f78da6e220e5585a8ae1ed4e963b9c5e91f1fa056f1bebf40a8635f8607,f084e582caef65db232e4e07ec445091d55c932de4f1ab88a11c90eb5882590d
SetRegistry/SetRegistry.h,SetRegistry/SetRegistry.h,normal/shared source,text-identical (encoding/EOL differs),1379,1330,,,,1341402558,2eb04cc05aef68df32d3e5dd35662f5897322469c7890abe08d61fba74464e32,066be2949aebcfe6419efef86b4b50c45fe284232ddc95b6db452d66f5078793
SetRegistry/SetRegistry.rc,SetRegistry/SetRegistry.rc,normal/shared source,text-identical (encoding/EOL differs),6962,6717,,,,1341402558,fd512750c0e54aff7afc42ee02b2f19ab505cb076209285010f6edfb8f86c731,c70d0556df50896b4c26fe8fecb9c7ffe90a77f064c798c304cb4bb40f4269f7
SetRegistry/SetRegistry/AddServerDlg.cpp,SetRegistry/SetRegistry/AddServerDlg.cpp,normal/shared source,text-identical (encoding/EOL differs),3188,3083,,,,1341402559,943b8b199101c454378700285d872bc1463788a51803b04af3617e9e78d1c3d6,886a7643edafe3f3a298e062d8eafebc59aab22428b3bfa986a307be4fffd5f4
SetRegistry/SetRegistry/AddServerDlg.h,SetRegistry/SetRegistry/AddServerDlg.h,normal/shared source,text-identical (encoding/EOL differs),1484,1431,,,,1341402559,3bb5a220bfe223361824ec06f76a4f697b73c70e7e6fa45257cfc5b66548f44b,9640aee21bd89509e4bcf2136a0d973dcd214f9690ba8548d226cfdae19ae34f
SetRegistry/SetRegistry/mssccprj.scc,SetRegistry/SetRegistry/mssccprj.scc,resource/config/other,content-different,217,186,,,,1341402559,8c9eefd77a429fc6f41645ccaf4cc6bb9734b7aa8c81cccc488507e191982469,5413658446d356aed518baa883c307a0e78cdcdeff75947f328a861d5df04026
SetRegistry/SetRegistry/NANGReg.cpp,SetRegistry/SetRegistry/NANGReg.cpp,normal/shared source,text-identical (encoding/EOL differs),4043,3892,,,,1341402559,c68156572ef794e4b0687bc078b9d0ea3c1633ac1888292ff44be077d0121f03,1a94d4225f4a033977782eeccb5641e68ee01bfae5613b7b705b861afdede329
SetRegistry/SetRegistry/NANGReg.h,SetRegistry/SetRegistry/NANGReg.h,normal/shared source,text-identical (encoding/EOL differs),940,920,,,,1341402559,59500e048f5035d12cdcadcf51ab270e33685a2f70c7357a2361791a6e0cbc53,6186c99358775b1c9feba47a011b07130a0032ec5adba9fc06d688909b8f8d7b
SetRegistry/SetRegistry/ReadMe.txt,SetRegistry/SetRegistry/ReadMe.txt,resource/config/other,text-identical (encoding/EOL differs),3669,3581,,,,1341402559,175558f3e4b6f04d7d9d39cac3c78bf94a32a30f3581428e80a1ae32683a975c,6dd2bb13a4f12394124c7357fced9c2334c9e7b76f35346c14072c20840266a6
SetRegistry/SetRegistry/RegStringDefine.h,SetRegistry/SetRegistry/RegStringDefine.h,normal/shared source,text-identical (encoding/EOL differs),528,515,,,,1341402559,e95fc975e250caa88b485eadcf86fbc5d3f6879123383cf1ea3c6afa62fa5f3e,6fd7dd0550938775d5e3c6bd4728b606a7c98708d1eac822111672d01889493f
SetRegistry/SetRegistry/res/SetRegistry.ico,SetRegistry/SetRegistry/res/SetRegistry.ico,resource/config/other,byte-identical,3262,3262,,,,1341402560,df5effcffcc8dd66e89f77ed0d999e0f34f6d8c67735434f5b331cbab958de4a,df5effcffcc8dd66e89f77ed0d999e0f34f6d8c67735434f5b331cbab958de4a
SetRegistry/SetRegistry/res/SetRegistry.rc2,SetRegistry/SetRegistry/res/SetRegistry.rc2,normal/shared source,text-identical (encoding/EOL differs),403,390,,,,1341402560,0362341572eb43dcb11b6097eda921462facc3df23f7f068542999025d518831,3f24cf8070099068b7ae6d96957666ab177835d5132af9b1b23994e149fe319f
SetRegistry/SetRegistry/resource.h,SetRegistry/SetRegistry/resource.h,normal/shared source,text-identical (encoding/EOL differs),1136,1105,,,,1341402559,8b3a7f74d9232aeadf98cd1e5c243194782c4ce033f064a1b0b22b53fd77988f,57e07c6f2eaeb21568c4667f6d83322547b4b3e19767ce516852434e586195bb
SetRegistry/SetRegistry/SetRegistry.cpp,SetRegistry/SetRegistry/SetRegistry.cpp,normal/shared source,text-identical (encoding/EOL differs),2134,2060,,,,1341402559,8bae7e99839a3b7a1bc7fea8f1d573aded3fade81a98561445353f129ffab234,4a7162d76d65d4aa6c6afdb46691dc2ae78bdc1c16c6037c9c03cc550e05396f
SetRegistry/SetRegistry/SetRegistry.dsp,SetRegistry/SetRegistry/SetRegistry.dsp,resource/config/other,text-identical (encoding/EOL differs),5013,4827,,,,1341402559,2eb96f78da6e220e5585a8ae1ed4e963b9c5e91f1fa056f1bebf40a8635f8607,f084e582caef65db232e4e07ec445091d55c932de4f1ab88a11c90eb5882590d
SetRegistry/SetRegistry/SetRegistry.h,SetRegistry/SetRegistry/SetRegistry.h,normal/shared source,text-identical (encoding/EOL differs),1379,1330,,,,1341402559,2eb04cc05aef68df32d3e5dd35662f5897322469c7890abe08d61fba74464e32,066be2949aebcfe6419efef86b4b50c45fe284232ddc95b6db452d66f5078793
SetRegistry/SetRegistry/SetRegistry.rc,SetRegistry/SetRegistry/SetRegistry.rc,normal/shared source,text-identical (encoding/EOL differs),6962,6717,,,,1341402559,fd512750c0e54aff7afc42ee02b2f19ab505cb076209285010f6edfb8f86c731,c70d0556df50896b4c26fe8fecb9c7ffe90a77f064c798c304cb4bb40f4269f7
SetRegistry/SetRegistry/SetRegistryDlg.cpp,SetRegistry/SetRegistry/SetRegistryDlg.cpp,normal/shared source,text-identical (encoding/EOL differs),21947,21189,,,,1341402559,03221e13c14d4cea10afec26b63e1cc77522a77e0ed109cf7e459d268e2ce771,6aac05cf0d43cdf1e2153105f28402358752cef437e86d3354b925f5deb9ee2c
SetRegistry/SetRegistry/SetRegistryDlg.h,SetRegistry/SetRegistry/SetRegistryDlg.h,normal/shared source,text-identical (encoding/EOL differs),2220,2138,,,,1341402559,ac9e7c6c40a9c2c0af4cfdb72d73c7a7a9196a13cc4d8910afb6b31f0d06630b,4ffc3cf450bbd58c59a6ff90f6c1fa03cb6e13759c55839bb1e7e4547d55bacf
SetRegistry/SetRegistry/StdAfx.cpp,SetRegistry/SetRegistry/StdAfx.cpp,normal/shared source,text-identical (encoding/EOL differs),213,205,,,,1341402559,5f9e76bc9a1ef9a64a2072d747ed9034aab72817f36eda34e76b539759827de0,317453a845dbc2b9d45e3fa43580284aad2a0eea1df91d9cc10692d723e9f922
SetRegistry/SetRegistry/StdAfx.h,SetRegistry/SetRegistry/StdAfx.h,normal/shared source,text-identical (encoding/EOL differs),1054,1027,,,,1341402560,39395c0a24df563e418337d5d20d1f3f23169de8cfdb93633fdd1d3781a6de1a,465273df57754055d2c0bc14dc02291a362a198246eac2cf1e6697913accbc9c
SetRegistry/SetRegistry/Xitem.cpp,SetRegistry/SetRegistry/Xitem.cpp,normal/shared source,text-identical (encoding/EOL differs),535,503,,,,1341402560,70cf2c8584eee4bce36a1bd4dd47aa2673c97c1ad73a8d9539bf72a9a0e6b51b,d0b93a5d678ef05502aef677446decf3193cd663d96ee7d575f7b42cd5a9f856
SetRegistry/SetRegistry/Xitem.h,SetRegistry/SetRegistry/Xitem.h,normal/shared source,text-identical (encoding/EOL differs),401,384,,,,1341402560,f9fd9dd3bf75ef25db2ae7091df195b38824c1a0c23c220aa7f4f11f2384938a,ec551f8a4e2749357c00d1e4465058edd69a4b9deddce515369f8d938fc42c5c
SetRegistry/SetRegistry/Xlist.cpp,SetRegistry/SetRegistry/Xlist.cpp,normal/shared source,text-identical (encoding/EOL differs),3590,3400,,,,1341402560,439d18a66f75ce189e17e22f0992295b1d7fd74f232a2dddb8529d8c147c6b37,a5cdfbc7d3c0924c6846572e5a9ab2defecb3191d7758b64e6ebea13d1e83cdc
SetRegistry/SetRegistry/Xlist.h,SetRegistry/SetRegistry/Xlist.h,normal/shared source,text-identical (encoding/EOL differs),1468,1420,,,,1341402560,8310f504c293967504224b9524786235cf603a3522207449176e3136d004fb6d,009706063018a900c08b4b256449ca27062651e91afad51a52f4f3f69cfe9405
SetRegistry/SetRegistryDlg.cpp,SetRegistry/SetRegistryDlg.cpp,normal/shared source,content-different,23730,22890,3,3,0.99631,1384268626,d890d74d972fa817719cf486d197ec034fb563b14ec9121f9096c3e080ef4ac4,4b32c15875e0fe077d29a58767290cb541c9ae9c5b6c1d460a40bab1f3f2ca01
SetRegistry/SetRegistryDlg.h,SetRegistry/SetRegistryDlg.h,normal/shared source,text-identical (encoding/EOL differs),2220,2138,,,,1341402558,ac9e7c6c40a9c2c0af4cfdb72d73c7a7a9196a13cc4d8910afb6b31f0d06630b,4ffc3cf450bbd58c59a6ff90f6c1fa03cb6e13759c55839bb1e7e4547d55bacf
SetRegistry/StdAfx.cpp,SetRegistry/StdAfx.cpp,normal/shared source,text-identical (encoding/EOL differs),213,205,,,,1341402558,5f9e76bc9a1ef9a64a2072d747ed9034aab72817f36eda34e76b539759827de0,317453a845dbc2b9d45e3fa43580284aad2a0eea1df91d9cc10692d723e9f922
SetRegistry/StdAfx.h,SetRegistry/StdAfx.h,normal/shared source,text-identical (encoding/EOL differs),1054,1027,,,,1341402558,39395c0a24df563e418337d5d20d1f3f23169de8cfdb93633fdd1d3781a6de1a,465273df57754055d2c0bc14dc02291a362a198246eac2cf1e6697913accbc9c
